Minute,Hour,NO2,O3,Region,Location
2023-07-14 00:00:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-14 00:05:00,0AM,9.15,0.0,Tangerang,Panunggangan Utara
2023-07-14 00:10:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-14 00:15:00,0AM,9.65,0.0,Tangerang,Panunggangan Utara
2023-07-14 00:20:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-14 00:25:00,0AM,8.75,0.0,Tangerang,Panunggangan Utara
2023-07-14 00:30:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-14 00:35:00,0AM,8.72,0.0,Tangerang,Panunggangan Utara
2023-07-14 00:40:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-14 00:45:00,0AM,8.27,0.0,Tangerang,Panunggangan Utara
2023-07-14 00:50:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-14 00:55:00,0AM,7.92,0.0,Tangerang,Panunggangan Utara
2023-07-14 01:00:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-14 01:05:00,1AM,7.18,0.0,Tangerang,Panunggangan Utara
2023-07-14 01:10:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-14 01:15:00,1AM,6.7,0.0,Tangerang,Panunggangan Utara
2023-07-14 01:20:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-14 01:25:00,1AM,6.0,0.0,Tangerang,Panunggangan Utara
2023-07-14 01:30:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-14 01:35:00,1AM,6.37,0.0,Tangerang,Panunggangan Utara
2023-07-14 01:40:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-14 01:45:00,1AM,7.27,0.0,Tangerang,Panunggangan Utara
2023-07-14 01:50:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-14 01:55:00,1AM,7.69,0.0,Tangerang,Panunggangan Utara
2023-07-14 02:00:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-14 02:05:00,2AM,7.89,0.0,Tangerang,Panunggangan Utara
2023-07-14 02:10:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-14 02:15:00,2AM,7.02,0.0,Tangerang,Panunggangan Utara
2023-07-14 02:20:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-14 02:25:00,2AM,6.88,0.0,Tangerang,Panunggangan Utara
2023-07-14 02:30:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-14 02:35:00,2AM,6.16,0.0,Tangerang,Panunggangan Utara
2023-07-14 02:40:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-14 02:45:00,2AM,5.5,0.0,Tangerang,Panunggangan Utara
2023-07-14 02:50:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-14 02:55:00,2AM,5.02,0.0,Tangerang,Panunggangan Utara
2023-07-14 03:00:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-14 03:05:00,3AM,4.75,0.0,Tangerang,Panunggangan Utara
2023-07-14 03:10:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-14 03:15:00,3AM,3.94,0.0,Tangerang,Panunggangan Utara
2023-07-14 03:20:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-14 03:25:00,3AM,3.72,0.0,Tangerang,Panunggangan Utara
2023-07-14 03:30:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-14 03:35:00,3AM,2.2,0.0,Tangerang,Panunggangan Utara
2023-07-14 03:40:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-14 03:45:00,3AM,1.24,0.0,Tangerang,Panunggangan Utara
2023-07-14 03:50:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-14 03:55:00,3AM,0.67,0.0,Tangerang,Panunggangan Utara
2023-07-14 04:00:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-14 04:05:00,4AM,0.4,0.0,Tangerang,Panunggangan Utara
2023-07-14 04:10:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-14 04:15:00,4AM,0.45,0.0,Tangerang,Panunggangan Utara
2023-07-14 04:20:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-14 04:25:00,4AM,0.54,0.0,Tangerang,Panunggangan Utara
2023-07-14 04:30:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-14 04:35:00,4AM,1.01,0.0,Tangerang,Panunggangan Utara
2023-07-14 04:40:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-14 04:45:00,4AM,2.23,0.0,Tangerang,Panunggangan Utara
2023-07-14 04:50:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-14 04:55:00,4AM,2.48,0.0,Tangerang,Panunggangan Utara
2023-07-14 05:00:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-14 05:05:00,5AM,2.14,0.0,Tangerang,Panunggangan Utara
2023-07-14 05:10:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-14 05:15:00,5AM,1.9,0.0,Tangerang,Panunggangan Utara
2023-07-14 05:20:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-14 05:25:00,5AM,2.14,0.0,Tangerang,Panunggangan Utara
2023-07-14 05:30:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-14 05:35:00,5AM,1.02,0.0,Tangerang,Panunggangan Utara
2023-07-14 05:40:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-14 05:45:00,5AM,0.32,0.0,Tangerang,Panunggangan Utara
2023-07-14 05:50:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-14 05:55:00,5AM,0.24,0.0,Tangerang,Panunggangan Utara
2023-07-14 06:00:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-14 06:05:00,6AM,0.22,0.0,Tangerang,Panunggangan Utara
2023-07-14 06:10:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-14 06:15:00,6AM,0.75,0.0,Tangerang,Panunggangan Utara
2023-07-14 06:20:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-14 06:25:00,6AM,0.9,0.0,Tangerang,Panunggangan Utara
2023-07-14 06:30:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-14 06:35:00,6AM,0.9,0.0,Tangerang,Panunggangan Utara
2023-07-14 06:40:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-14 06:45:00,6AM,1.44,0.0,Tangerang,Panunggangan Utara
2023-07-14 06:50:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-14 06:55:00,6AM,1.73,0.0,Tangerang,Panunggangan Utara
2023-07-14 07:00:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-14 07:05:00,7AM,2.06,0.0,Tangerang,Panunggangan Utara
2023-07-14 07:10:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-14 07:15:00,7AM,1.33,0.0,Tangerang,Panunggangan Utara
2023-07-14 07:20:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-14 07:25:00,7AM,1.52,0.0,Tangerang,Panunggangan Utara
2023-07-14 07:30:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-14 07:35:00,7AM,0.99,0.0,Tangerang,Panunggangan Utara
2023-07-14 07:40:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-14 07:45:00,7AM,0.59,0.0,Tangerang,Panunggangan Utara
2023-07-14 07:50:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-14 07:55:00,7AM,0.4,0.0,Tangerang,Panunggangan Utara
2023-07-14 08:00:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-14 08:05:00,8AM,1.39,0.0,Tangerang,Panunggangan Utara
2023-07-14 08:10:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-14 08:15:00,8AM,1.65,0.0,Tangerang,Panunggangan Utara
2023-07-14 08:20:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-14 08:25:00,8AM,1.97,0.0,Tangerang,Panunggangan Utara
2023-07-14 08:30:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-14 08:35:00,8AM,1.8,0.0,Tangerang,Panunggangan Utara
2023-07-14 08:40:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-14 08:45:00,8AM,1.5,0.0,Tangerang,Panunggangan Utara
2023-07-14 08:50:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-14 08:55:00,8AM,0.96,0.0,Tangerang,Panunggangan Utara
2023-07-14 09:00:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-14 09:05:00,9AM,0.0,2.26,Tangerang,Panunggangan Utara
2023-07-14 09:10:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-14 09:15:00,9AM,0.0,8.1,Tangerang,Panunggangan Utara
2023-07-14 09:20:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-14 09:25:00,9AM,0.0,9.72,Tangerang,Panunggangan Utara
2023-07-14 09:30:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-14 09:35:00,9AM,0.0,20.18,Tangerang,Panunggangan Utara
2023-07-14 09:40:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-14 09:45:00,9AM,0.0,38.1,Tangerang,Panunggangan Utara
2023-07-14 09:50:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-14 09:55:00,9AM,0.0,44.57,Tangerang,Panunggangan Utara
2023-07-14 10:00:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-14 10:05:00,10AM,0.0,65.62,Tangerang,Panunggangan Utara
2023-07-14 10:10:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-14 10:15:00,10AM,2.99,86.78,Tangerang,Panunggangan Utara
2023-07-14 10:20:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-14 10:25:00,10AM,3.59,97.18,Tangerang,Panunggangan Utara
2023-07-14 10:30:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-14 10:35:00,10AM,4.51,107.23,Tangerang,Panunggangan Utara
2023-07-14 10:40:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-14 10:45:00,10AM,4.14,116.2,Tangerang,Panunggangan Utara
2023-07-14 10:50:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-14 10:55:00,10AM,4.96,121.61,Tangerang,Panunggangan Utara
2023-07-14 11:00:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-14 11:05:00,11AM,5.7,118.49,Tangerang,Panunggangan Utara
2023-07-14 11:10:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-14 11:15:00,11AM,2.39,121.6,Tangerang,Panunggangan Utara
2023-07-14 11:20:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-14 11:25:00,11AM,1.91,122.78,Tangerang,Panunggangan Utara
2023-07-14 11:30:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-14 11:35:00,11AM,3.42,129.8,Tangerang,Panunggangan Utara
2023-07-14 11:40:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-14 11:45:00,11AM,3.21,136.17,Tangerang,Panunggangan Utara
2023-07-14 11:50:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-14 11:55:00,11AM,2.37,140.51,Tangerang,Panunggangan Utara
2023-07-14 12:00:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-14 12:05:00,12PM,2.15,144.98,Tangerang,Panunggangan Utara
2023-07-14 12:10:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-14 12:15:00,12PM,1.97,152.3,Tangerang,Panunggangan Utara
2023-07-14 12:20:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-14 12:25:00,12PM,0.44,155.32,Tangerang,Panunggangan Utara
2023-07-14 12:30:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-14 12:35:00,12PM,0.09,163.45,Tangerang,Panunggangan Utara
2023-07-14 12:40:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-14 12:45:00,12PM,0.0,171.18,Tangerang,Panunggangan Utara
