Minute,Hour,SO2,CO,Region,Location
2023-07-14 00:05:00,0AM,,,North Jakarta,Ancol
2023-07-14 00:15:00,0AM,,,North Jakarta,Ancol
2023-07-14 00:25:00,0AM,,,North Jakarta,Ancol
2023-07-14 00:35:00,0AM,,,North Jakarta,Ancol
2023-07-14 00:45:00,0AM,,,North Jakarta,Ancol
2023-07-14 00:55:00,0AM,,,North Jakarta,Ancol
2023-07-14 01:05:00,1AM,,,North Jakarta,Ancol
2023-07-14 01:15:00,1AM,,,North Jakarta,Ancol
2023-07-14 01:25:00,1AM,,,North Jakarta,Ancol
2023-07-14 01:35:00,1AM,,,North Jakarta,Ancol
2023-07-14 01:45:00,1AM,,,North Jakarta,Ancol
2023-07-14 01:55:00,1AM,,,North Jakarta,Ancol
2023-07-14 02:05:00,2AM,,,North Jakarta,Ancol
2023-07-14 02:15:00,2AM,,,North Jakarta,Ancol
2023-07-14 02:25:00,2AM,,,North Jakarta,Ancol
2023-07-14 02:35:00,2AM,,,North Jakarta,Ancol
2023-07-14 02:45:00,2AM,,,North Jakarta,Ancol
2023-07-14 02:55:00,2AM,,,North Jakarta,Ancol
2023-07-14 03:05:00,3AM,,,North Jakarta,Ancol
2023-07-14 03:15:00,3AM,,,North Jakarta,Ancol
2023-07-14 03:25:00,3AM,,,North Jakarta,Ancol
2023-07-14 03:35:00,3AM,,,North Jakarta,Ancol
2023-07-14 03:45:00,3AM,,,North Jakarta,Ancol
2023-07-14 03:55:00,3AM,,,North Jakarta,Ancol
2023-07-14 04:05:00,4AM,,,North Jakarta,Ancol
2023-07-14 04:15:00,4AM,,,North Jakarta,Ancol
2023-07-14 04:25:00,4AM,,,North Jakarta,Ancol
2023-07-14 04:35:00,4AM,,,North Jakarta,Ancol
2023-07-14 04:45:00,4AM,,,North Jakarta,Ancol
2023-07-14 04:55:00,4AM,,,North Jakarta,Ancol
2023-07-14 05:05:00,5AM,,,North Jakarta,Ancol
2023-07-14 05:15:00,5AM,,,North Jakarta,Ancol
2023-07-14 05:25:00,5AM,,,North Jakarta,Ancol
2023-07-14 05:35:00,5AM,,,North Jakarta,Ancol
2023-07-14 05:45:00,5AM,,,North Jakarta,Ancol
2023-07-14 05:55:00,5AM,,,North Jakarta,Ancol
2023-07-14 06:05:00,6AM,,,North Jakarta,Ancol
2023-07-14 06:15:00,6AM,,,North Jakarta,Ancol
2023-07-14 06:25:00,6AM,,,North Jakarta,Ancol
2023-07-14 06:35:00,6AM,,,North Jakarta,Ancol
2023-07-14 06:45:00,6AM,,,North Jakarta,Ancol
2023-07-14 06:55:00,6AM,,,North Jakarta,Ancol
2023-07-14 07:05:00,7AM,,,North Jakarta,Ancol
2023-07-14 07:15:00,7AM,,,North Jakarta,Ancol
2023-07-14 07:25:00,7AM,,,North Jakarta,Ancol
2023-07-14 07:35:00,7AM,,,North Jakarta,Ancol
2023-07-14 07:45:00,7AM,,,North Jakarta,Ancol
2023-07-14 07:55:00,7AM,,,North Jakarta,Ancol
2023-07-14 08:05:00,8AM,,,North Jakarta,Ancol
2023-07-14 08:15:00,8AM,,,North Jakarta,Ancol
2023-07-14 08:25:00,8AM,,,North Jakarta,Ancol
2023-07-14 08:35:00,8AM,,,North Jakarta,Ancol
2023-07-14 08:45:00,8AM,,,North Jakarta,Ancol
2023-07-14 08:55:00,8AM,,,North Jakarta,Ancol
2023-07-14 09:05:00,9AM,,,North Jakarta,Ancol
2023-07-14 09:15:00,9AM,,,North Jakarta,Ancol
2023-07-14 09:25:00,9AM,,,North Jakarta,Ancol
2023-07-14 09:35:00,9AM,,,North Jakarta,Ancol
2023-07-14 09:45:00,9AM,,,North Jakarta,Ancol
2023-07-14 09:55:00,9AM,6.66,463.23,North Jakarta,Ancol
2023-07-14 10:05:00,10AM,6.45,463.26,North Jakarta,Ancol
2023-07-14 10:15:00,10AM,,,North Jakarta,Ancol
2023-07-14 10:25:00,10AM,,,North Jakarta,Ancol
2023-07-14 10:35:00,10AM,,,North Jakarta,Ancol
2023-07-14 10:45:00,10AM,,,North Jakarta,Ancol
2023-07-14 10:55:00,10AM,,,North Jakarta,Ancol
2023-07-14 11:05:00,11AM,,,North Jakarta,Ancol
2023-07-14 11:15:00,11AM,,,North Jakarta,Ancol
2023-07-14 11:25:00,11AM,,,North Jakarta,Ancol
2023-07-14 11:35:00,11AM,,,North Jakarta,Ancol
2023-07-14 11:45:00,11AM,,,North Jakarta,Ancol
2023-07-14 11:55:00,11AM,,,North Jakarta,Ancol
2023-07-14 12:05:00,12PM,,,North Jakarta,Ancol
2023-07-14 12:15:00,12PM,,,North Jakarta,Ancol
2023-07-14 12:25:00,12PM,,,North Jakarta,Ancol
2023-07-14 12:35:00,12PM,,,North Jakarta,Ancol
2023-07-14 12:45:00,12PM,,,North Jakarta,Ancol
2023-07-14 12:55:00,12PM,,,North Jakarta,Ancol
2023-07-14 13:05:00,13PM,,,North Jakarta,Ancol
2023-07-14 13:15:00,13PM,,,North Jakarta,Ancol
2023-07-14 13:25:00,13PM,,,North Jakarta,Ancol
2023-07-14 13:35:00,13PM,,,North Jakarta,Ancol
2023-07-14 13:45:00,13PM,,,North Jakarta,Ancol
2023-07-14 13:55:00,13PM,,,North Jakarta,Ancol
2023-07-14 14:05:00,14PM,,,North Jakarta,Ancol
2023-07-14 14:15:00,14PM,,,North Jakarta,Ancol
2023-07-14 14:25:00,14PM,,,North Jakarta,Ancol
2023-07-14 14:35:00,14PM,,,North Jakarta,Ancol
2023-07-14 14:45:00,14PM,,,North Jakarta,Ancol
2023-07-14 14:55:00,14PM,,,North Jakarta,Ancol
2023-07-14 15:05:00,15PM,,,North Jakarta,Ancol
2023-07-14 15:15:00,15PM,,,North Jakarta,Ancol
2023-07-14 15:25:00,15PM,,,North Jakarta,Ancol
2023-07-14 15:35:00,15PM,,,North Jakarta,Ancol
2023-07-14 15:45:00,15PM,,,North Jakarta,Ancol
2023-07-14 15:55:00,15PM,,,North Jakarta,Ancol
2023-07-14 16:05:00,16PM,,,North Jakarta,Ancol
2023-07-14 16:15:00,16PM,,,North Jakarta,Ancol
