Minute,Hour,Temperature,Pressure,Humidity,PM1,PM2.5,PM10,Region,Location
2023-07-14 00:05:00,0AM,21.26,1020.31,80.58,22.01,35.4,43.39,Bandung,Ciroyom
2023-07-14 00:15:00,0AM,21.17,1020.28,80.95,22.05,35.55,43.59,Bandung,Ciroyom
2023-07-14 00:25:00,0AM,21.11,1020.23,81.15,22.08,35.59,43.62,Bandung,Ciroyom
2023-07-14 00:35:00,0AM,21.0,1020.18,81.55,21.73,34.99,42.73,Bandung,Ciroyom
2023-07-14 00:45:00,0AM,20.77,1020.12,82.32,21.39,34.36,41.81,Bandung,Ciroyom
2023-07-14 00:55:00,0AM,20.54,1020.03,83.09,21.29,34.14,41.47,Bandung,Ciroyom
2023-07-14 01:05:00,1AM,20.32,1019.94,83.87,21.2,33.97,41.25,Bandung,Ciroyom
2023-07-14 01:15:00,1AM,20.09,1019.86,84.66,21.14,33.81,41.0,Bandung,Ciroyom
2023-07-14 01:25:00,1AM,19.85,1019.75,85.43,20.96,33.51,40.53,Bandung,Ciroyom
2023-07-14 01:35:00,1AM,19.71,1019.61,85.79,22.58,36.52,43.74,Bandung,Ciroyom
2023-07-14 01:45:00,1AM,19.52,1019.47,86.32,26.77,43.86,51.2,Bandung,Ciroyom
2023-07-14 01:55:00,1AM,19.35,1019.34,86.86,30.61,50.56,57.81,Bandung,Ciroyom
2023-07-14 02:05:00,2AM,19.19,1019.21,87.42,32.62,53.96,61.14,Bandung,Ciroyom
2023-07-14 02:15:00,2AM,19.02,1019.07,88.08,33.05,54.7,62.29,Bandung,Ciroyom
2023-07-14 02:25:00,2AM,18.86,1018.96,88.77,33.86,56.15,64.18,Bandung,Ciroyom
2023-07-14 02:35:00,2AM,18.71,1018.86,89.48,33.32,55.07,63.48,Bandung,Ciroyom
2023-07-14 02:45:00,2AM,18.74,1018.77,89.62,30.6,50.4,58.94,Bandung,Ciroyom
2023-07-14 02:55:00,2AM,18.77,1018.7,89.75,29.27,48.28,56.78,Bandung,Ciroyom
2023-07-14 03:05:00,3AM,18.8,1018.63,89.9,32.81,54.74,63.49,Bandung,Ciroyom
2023-07-14 03:15:00,3AM,18.82,1018.57,89.97,38.03,64.2,72.82,Bandung,Ciroyom
2023-07-14 03:25:00,3AM,18.84,1018.5,89.95,39.52,67.13,75.16,Bandung,Ciroyom
2023-07-14 03:35:00,3AM,18.84,1018.44,89.92,40.08,68.48,76.01,Bandung,Ciroyom
2023-07-14 03:45:00,3AM,18.83,1018.4,89.86,39.83,68.01,75.75,Bandung,Ciroyom
2023-07-14 03:55:00,3AM,18.79,1018.37,89.8,38.39,65.4,73.8,Bandung,Ciroyom
2023-07-14 04:05:00,4AM,18.74,1018.35,89.66,33.96,57.48,66.26,Bandung,Ciroyom
2023-07-14 04:15:00,4AM,18.7,1018.35,89.53,29.25,49.09,58.12,Bandung,Ciroyom
2023-07-14 04:25:00,4AM,18.67,1018.35,89.48,27.67,45.89,55.57,Bandung,Ciroyom
2023-07-14 04:35:00,4AM,18.66,1018.36,89.43,26.65,43.61,53.69,Bandung,Ciroyom
2023-07-14 04:45:00,4AM,18.65,1018.36,89.42,26.21,42.67,52.84,Bandung,Ciroyom
2023-07-14 04:55:00,4AM,18.65,1018.35,89.46,26.0,42.07,52.34,Bandung,Ciroyom
2023-07-14 05:05:00,5AM,18.65,1018.35,89.51,25.65,41.32,51.61,Bandung,Ciroyom
2023-07-14 05:15:00,5AM,18.64,1018.35,89.52,25.22,40.38,50.56,Bandung,Ciroyom
2023-07-14 05:25:00,5AM,18.63,1018.35,89.55,25.27,40.4,50.59,Bandung,Ciroyom
2023-07-14 05:35:00,5AM,18.62,1018.35,89.57,25.63,40.99,51.32,Bandung,Ciroyom
2023-07-14 05:45:00,5AM,18.59,1018.37,89.58,26.68,42.67,52.61,Bandung,Ciroyom
2023-07-14 05:55:00,5AM,18.57,1018.38,89.53,28.37,46.19,55.38,Bandung,Ciroyom
2023-07-14 06:05:00,6AM,18.59,1018.42,89.6,31.54,52.13,60.67,Bandung,Ciroyom
2023-07-14 06:15:00,6AM,18.61,1018.45,89.68,34.03,56.86,64.89,Bandung,Ciroyom
2023-07-14 06:25:00,6AM,18.64,1018.5,89.76,37.54,63.38,70.97,Bandung,Ciroyom
2023-07-14 06:35:00,6AM,18.66,1018.57,89.88,39.48,66.82,73.52,Bandung,Ciroyom
2023-07-14 06:45:00,6AM,18.7,1018.63,90.07,40.96,69.41,75.61,Bandung,Ciroyom
2023-07-14 06:55:00,6AM,18.73,1018.71,90.33,41.24,69.19,75.12,Bandung,Ciroyom
2023-07-14 07:05:00,7AM,18.73,1018.8,90.5,39.36,65.53,71.5,Bandung,Ciroyom
2023-07-14 07:15:00,7AM,18.82,1018.89,90.27,39.02,64.48,70.28,Bandung,Ciroyom
2023-07-14 07:25:00,7AM,19.0,1019.01,89.62,35.65,58.29,64.46,Bandung,Ciroyom
2023-07-14 07:35:00,7AM,19.18,1019.11,88.95,33.5,54.37,61.33,Bandung,Ciroyom
2023-07-14 07:45:00,7AM,19.36,1019.22,88.21,30.92,49.91,57.71,Bandung,Ciroyom
2023-07-14 07:55:00,7AM,19.56,1019.32,87.44,28.65,46.06,54.66,Bandung,Ciroyom
2023-07-14 08:05:00,8AM,19.77,1019.42,86.63,26.73,42.73,51.4,Bandung,Ciroyom
2023-07-14 08:15:00,8AM,20.05,1019.51,85.58,24.06,38.13,47.06,Bandung,Ciroyom
2023-07-14 08:25:00,8AM,20.42,1019.6,84.32,22.56,35.62,43.72,Bandung,Ciroyom
2023-07-14 08:35:00,8AM,20.78,1019.68,83.02,20.95,33.0,39.8,Bandung,Ciroyom
2023-07-14 08:45:00,8AM,21.15,1019.75,81.7,19.16,30.14,35.63,Bandung,Ciroyom
2023-07-14 08:55:00,8AM,21.51,1019.8,80.39,18.27,28.82,33.71,Bandung,Ciroyom
2023-07-14 09:05:00,9AM,21.87,1019.84,79.05,17.42,27.57,31.99,Bandung,Ciroyom
2023-07-14 09:15:00,9AM,22.09,1019.85,78.32,16.18,25.72,29.22,Bandung,Ciroyom
