Minute,Hour,Temperature,Pressure,Humidity,PM1,PM2.5,PM10,Region,Location
2023-07-14 00:05:00,0AM,26.05,1010.86,85.75,45.72,66.13,75.12,Bekasi,Bekasi Selatan
2023-07-14 00:15:00,0AM,25.96,1010.84,85.75,46.97,68.13,77.55,Bekasi,Bekasi Selatan
2023-07-14 00:25:00,0AM,25.88,1010.8,85.75,48.95,71.19,81.08,Bekasi,Bekasi Selatan
2023-07-14 00:35:00,0AM,25.81,1010.76,85.75,50.05,73.02,83.48,Bekasi,Bekasi Selatan
2023-07-14 00:45:00,0AM,25.7,1010.72,86.13,51.73,75.75,86.92,Bekasi,Bekasi Selatan
2023-07-14 00:55:00,0AM,25.59,1010.66,86.5,52.43,77.06,88.86,Bekasi,Bekasi Selatan
2023-07-14 01:05:00,1AM,25.47,1010.58,86.88,52.59,77.57,89.63,Bekasi,Bekasi Selatan
2023-07-14 01:15:00,1AM,25.35,1010.48,87.25,51.8,76.5,88.45,Bekasi,Bekasi Selatan
2023-07-14 01:25:00,1AM,25.23,1010.35,87.63,50.02,74.12,86.23,Bekasi,Bekasi Selatan
2023-07-14 01:35:00,1AM,25.12,1010.18,88.0,48.92,72.55,84.34,Bekasi,Bekasi Selatan
2023-07-14 01:45:00,1AM,25.08,1010.0,88.0,46.42,68.94,80.33,Bekasi,Bekasi Selatan
2023-07-14 01:55:00,1AM,25.0,1009.81,88.19,45.16,67.01,77.96,Bekasi,Bekasi Selatan
2023-07-14 02:05:00,2AM,24.87,1009.63,88.56,43.67,64.63,75.18,Bekasi,Bekasi Selatan
2023-07-14 02:15:00,2AM,24.76,1009.47,88.94,41.9,62.11,72.45,Bekasi,Bekasi Selatan
2023-07-14 02:25:00,2AM,24.65,1009.31,89.31,39.27,58.22,68.32,Bekasi,Bekasi Selatan
2023-07-14 02:35:00,2AM,24.54,1009.18,89.69,36.4,54.19,64.58,Bekasi,Bekasi Selatan
2023-07-14 02:45:00,2AM,24.44,1009.06,90.06,33.91,50.61,61.17,Bekasi,Bekasi Selatan
