Minute,Hour,Clouds,Feels Like,Rain,Wind Direction,Wind Gust,Wind Speed,Region,Location
2023-07-01 00:00:00,0AM,58,20.0,0.0,143,1.51,1.07,North Jakarta,Ancol
2023-07-01 01:00:00,1AM,66,18.21,0.0,5,1.3,0.78,North Jakarta,Ancol
2023-07-01 02:00:00,2AM,61,18.55,0.0,21,1.08,0.53,North Jakarta,Ancol
2023-07-01 03:00:00,3AM,65,19.08,0.0,41,1.17,0.46,North Jakarta,Ancol
2023-07-01 04:00:00,4AM,70,19.32,0.0,67,1.19,0.45,North Jakarta,Ancol
2023-07-01 05:00:00,5AM,74,19.29,0.0,86,1.4,0.66,North Jakarta,Ancol
2023-07-01 06:00:00,6AM,74,19.91,0.0,87,2.1,0.71,North Jakarta,Ancol
2023-07-01 07:00:00,7AM,88,20.22,0.0,77,2.07,0.78,North Jakarta,Ancol
2023-07-01 08:00:00,8AM,89,21.32,0.0,96,2.86,1.16,North Jakarta,Ancol
2023-07-01 09:00:00,9AM,83,22.94,0.0,112,3.58,1.94,North Jakarta,Ancol
2023-07-01 10:00:00,10AM,82,23.77,0.0,117,3.59,2.52,North Jakarta,Ancol
2023-07-01 11:00:00,11AM,82,23.85,0.0,121,3.72,2.9,North Jakarta,Ancol
2023-07-01 12:00:00,12PM,83,23.43,0.0,122,3.68,2.84,North Jakarta,Ancol
2023-07-01 13:00:00,13PM,83,22.95,0.0,121,3.96,2.82,North Jakarta,Ancol
2023-07-01 14:00:00,14PM,87,22.2,0.0,119,4.46,2.76,North Jakarta,Ancol
2023-07-01 15:00:00,15PM,90,21.26,0.0,119,4.81,2.48,North Jakarta,Ancol
2023-07-01 16:00:00,16PM,93,20.49,0.0,112,4.78,2.07,North Jakarta,Ancol
2023-07-01 17:00:00,17PM,94,19.97,0.0,108,4.67,1.74,North Jakarta,Ancol
2023-07-01 18:00:00,18PM,92,19.7,0.0,101,4.33,1.46,North Jakarta,Ancol
2023-07-01 19:00:00,19PM,96,19.57,0.0,80,3.04,1.11,North Jakarta,Ancol
2023-07-01 20:00:00,20PM,88,19.55,0.0,70,2.47,1.13,North Jakarta,Ancol
2023-07-01 21:00:00,21PM,87,19.49,0.0,63,2.32,1.18,North Jakarta,Ancol
2023-07-01 22:00:00,22PM,84,19.22,0.0,64,1.72,1.11,North Jakarta,Ancol
2023-07-01 23:00:00,23PM,81,18.96,0.0,66,1.47,0.84,North Jakarta,Ancol
2023-07-02 00:00:00,0AM,81,19.1,0.0,88,1.24,0.75,North Jakarta,Ancol
2023-07-02 01:00:00,1AM,93,19.24,0.0,97,1.22,0.63,North Jakarta,Ancol
2023-07-02 02:00:00,2AM,97,19.29,0.0,120,1.49,0.63,North Jakarta,Ancol
2023-07-02 03:00:00,3AM,97,19.28,0.0,128,1.88,0.67,North Jakarta,Ancol
2023-07-02 04:00:00,4AM,98,19.35,0.0,122,2.92,0.79,North Jakarta,Ancol
2023-07-02 05:00:00,5AM,97,19.32,0.0,126,2.78,1.07,North Jakarta,Ancol
2023-07-02 06:00:00,6AM,89,21.15,0.0,147,2.5,1.57,North Jakarta,Ancol
2023-07-02 07:00:00,7AM,59,20.53,0.0,119,3.17,1.62,North Jakarta,Ancol
2023-07-02 08:00:00,8AM,63,21.36,0.0,121,3.07,1.84,North Jakarta,Ancol
2023-07-02 09:00:00,9AM,68,22.05,0.0,122,2.94,2.06,North Jakarta,Ancol
2023-07-02 10:00:00,10AM,72,22.6,0.0,126,3.01,2.39,North Jakarta,Ancol
2023-07-02 11:00:00,11AM,76,22.54,0.0,128,3.05,2.6,North Jakarta,Ancol
